,event_id,event_date,customer_id,take_in,group_ids,teacher_ids,attendance_id,month,weekday,day
35,10,2020-05-27,135,attend,5,4,29,May,Wednesday,27
38,46,2020-07-03,99,attend,2,7,266,July,Friday,3
39,62,2020-07-09,593,attend,1,3,305,July,Thursday,9
40,33,2020-06-17,137,attend,2,6,148,June,Wednesday,17
42,21,2020-06-09,383,attend,3,5,89,June,Tuesday,9
43,25,2020-06-10,260,attend,5,4,112,June,Wednesday,10
44,59,2020-07-08,234,attend,5,4,284,July,Wednesday,8
45,33,2020-06-17,99,attend,2,6,151,June,Wednesday,17
46,11,2020-05-29,135,attend,5,4,34,May,Friday,29
48,58,2020-07-15,354,attend,5,4,329,July,Wednesday,15
49,28,2020-06-16,452,attend,3,5,135,June,Tuesday,16
50,53,2020-07-02,419,attend,3,5,259,July,Thursday,2
51,37,2020-06-19,137,attend,2,6,173,June,Friday,19
52,41,2020-06-24,586,attend,2,6,198,June,Wednesday,24
53,52,2020-07-01,183,attend,5,4,250,July,Wednesday,1
54,56,2020-07-07,419,attend,3,5,279,July,Tuesday,7
56,8,2020-05-26,152,attend,2,6,22,May,Tuesday,26
58,52,2020-07-01,401,attend,5,4,247,July,Wednesday,1
59,29,2020-06-13,12,attend,1,3,131,June,Saturday,13
60,36,2020-06-19,493,attend,5,4,178,June,Friday,19
61,17,2020-06-04,137,attend,2,5,64,June,Thursday,4
62,61,2020-07-10,725,attend,5,4,295,July,Friday,10
63,63,2020-07-09,52,attend,3,5,306,July,Thursday,9
64,52,2020-07-01,493,attend,5,4,245,July,Wednesday,1
68,54,2020-07-02,593,attend,1,3,262,July,Thursday,2
69,15,2020-06-03,335,attend,5,4,54,June,Wednesday,3
70,59,2020-07-08,401,attend,5,4,287,July,Wednesday,8
72,19,2020-06-05,354,attend,5,4,80,June,Friday,5
73,34,2020-06-17,335,attend,5,4,155,June,Wednesday,17
75,12,2020-05-30,145,attend,1,3,39,May,Saturday,30
76,17,2020-06-04,99,attend,2,5,65,June,Thursday,4
77,55,2020-07-03,493,attend,5,4,270,July,Friday,3
78,15,2020-06-03,49,attend,5,4,58,June,Wednesday,3
79,19,2020-06-05,260,attend,5,4,82,June,Friday,5
81,4,2020-05-21,26,attend,3,5,3,May,Thursday,21
82,27,2020-06-12,183,attend,5,4,123,June,Friday,12
83,34,2020-06-17,360,attend,5,4,154,June,Wednesday,17
85,45,2020-06-26,586,attend,2,6,219,June,Friday,26
86,19,2020-06-05,335,attend,5,4,78,June,Friday,5
87,47,2020-06-26,401,attend,5,4,225,June,Friday,26
88,7,2020-05-25,26,attend,3,5,19,May,Monday,25
89,4,2020-05-21,37,attend,3,5,4,May,Thursday,21
90,4,2020-05-21,52,attend,3,5,2,May,Thursday,21
91,16,2020-06-04,249,attend,1,3,69,June,Thursday,4
92,61,2020-07-10,401,attend,5,4,299,July,Friday,10
94,58,2020-07-15,26,attend,5,4,323,July,Wednesday,15
95,47,2020-06-26,260,attend,5,4,228,June,Friday,26
96,49,2020-06-30,593,attend,1,3,254,June,Tuesday,30
97,3,2020-05-21,94,attend,1,3,6,May,Thursday,21
98,18,2020-06-05,279,attend,3,6,72,June,Friday,5
99,24,2020-06-10,379,attend,2,6,103,June,Wednesday,10
100,13,2020-06-01,37,attend,3,5,47,June,Monday,1
101,29,2020-06-13,42,attend,1,3,129,June,Saturday,13
102,59,2020-07-08,354,attend,5,4,290,July,Wednesday,8
103,27,2020-06-12,49,attend,5,4,125,June,Friday,12
104,36,2020-06-19,360,attend,5,4,179,June,Friday,19
105,47,2020-06-26,354,attend,5,4,227,June,Friday,26
106,53,2020-07-02,52,attend,3,5,257,July,Thursday,2
107,64,2020-07-15,192,attend,2,6,315,July,Wednesday,15
108,64,2020-07-15,379,attend,2,6,317,July,Wednesday,15
109,55,2020-07-03,26,attend,5,4,269,July,Friday,3
110,44,2020-06-25,593,attend,1,3,213,June,Thursday,25
111,21,2020-06-09,419,attend,3,5,92,June,Tuesday,9
112,52,2020-07-01,234,attend,5,4,243,July,Wednesday,1
114,48,2020-06-27,590,attend,1,3,230,June,Saturday,27
115,36,2020-06-19,354,attend,5,4,184,June,Friday,19
117,18,2020-06-05,26,attend,3,6,74,June,Friday,5
119,56,2020-07-07,452,attend,3,5,278,July,Tuesday,7
120,6,2020-05-23,94,attend,1,3,14,May,Saturday,23
121,61,2020-07-10,700,attend,5,4,300,July,Friday,10
122,59,2020-07-08,493,attend,5,4,286,July,Wednesday,8
123,19,2020-06-05,49,attend,5,4,81,June,Friday,5
126,47,2020-06-26,360,attend,5,4,224,June,Friday,26
128,52,2020-07-01,26,attend,5,4,244,July,Wednesday,1
129,13,2020-06-01,52,attend,3,5,45,June,Monday,1
130,58,2020-07-15,401,attend,5,4,325,July,Wednesday,15
131,9,2020-05-28,247,attend,1,3,26,May,Thursday,28
133,63,2020-07-09,419,attend,3,5,308,July,Thursday,9
134,60,2020-07-10,99,attend,2,7,293,July,Friday,10
135,25,2020-06-10,360,attend,5,4,106,June,Wednesday,10
136,24,2020-06-10,99,attend,2,6,105,June,Wednesday,10
137,48,2020-06-27,12,attend,1,3,234,June,Saturday,27
138,44,2020-06-25,12,attend,1,3,216,June,Thursday,25
139,18,2020-06-05,37,attend,3,6,75,June,Friday,5
140,23,2020-06-11,383,attend,3,5,96,June,Thursday,11
142,45,2020-06-26,99,attend,2,6,220,June,Friday,26
143,40,2020-06-23,52,attend,3,5,192,June,Tuesday,23
144,40,2020-06-23,452,attend,3,5,193,June,Tuesday,23
145,11,2020-05-29,260,attend,5,4,36,May,Friday,29
146,42,2020-06-24,360,attend,5,4,202,June,Wednesday,24
147,23,2020-06-11,52,attend,3,5,98,June,Thursday,11
148,27,2020-06-12,401,attend,5,4,122,June,Friday,12
149,48,2020-06-27,595,attend,1,3,229,June,Saturday,27
151,40,2020-06-23,419,attend,3,5,194,June,Tuesday,23
153,43,2020-06-25,452,attend,3,5,208,June,Thursday,25
154,12,2020-05-30,247,attend,1,3,40,May,Saturday,30
155,11,2020-05-29,49,attend,5,4,35,May,Friday,29
156,64,2020-07-15,99,attend,2,6,316,July,Wednesday,15
157,12,2020-05-30,12,attend,1,3,42,May,Saturday,30
160,58,2020-07-15,493,attend,5,4,324,July,Wednesday,15
161,14,2020-06-02,137,attend,2,6,51,June,Tuesday,2
163,38,2020-06-20,593,attend,1,3,187,June,Saturday,20
165,3,2020-05-21,247,attend,1,3,7,May,Thursday,21
166,45,2020-06-26,137,attend,2,6,217,June,Friday,26
167,58,2020-07-15,700,attend,5,4,326,July,Wednesday,15
168,15,2020-06-03,234,attend,5,4,53,June,Wednesday,3
169,59,2020-07-08,26,attend,5,4,285,July,Wednesday,8
170,46,2020-07-03,192,attend,2,7,265,July,Friday,3
171,16,2020-06-04,12,attend,1,3,70,June,Thursday,4
172,58,2020-07-15,234,attend,5,4,322,July,Wednesday,15
173,60,2020-07-10,192,attend,2,7,292,July,Friday,10
174,67,2020-07-16,52,attend,3,5,318,July,Thursday,16
175,45,2020-06-26,379,attend,2,6,221,June,Friday,26
176,41,2020-06-24,137,attend,2,6,196,June,Wednesday,24
177,36,2020-06-19,183,attend,5,4,183,June,Friday,19
178,26,2020-06-12,137,attend,2,6,117,June,Friday,12
181,34,2020-06-17,496,attend,5,4,156,June,Wednesday,17
183,4,2020-05-21,30,attend,3,5,1,May,Thursday,21
184,35,2020-06-17,42,attend,1,3,170,June,Wednesday,17
185,63,2020-07-09,452,attend,3,5,307,July,Thursday,9
186,19,2020-06-05,295,attend,5,4,79,June,Friday,5
187,14,2020-06-02,99,attend,2,6,52,June,Tuesday,2
188,22,2020-06-11,247,attend,1,3,94,June,Thursday,11
189,14,2020-06-02,192,attend,2,6,48,June,Tuesday,2
190,67,2020-07-16,452,attend,3,5,319,July,Thursday,16
192,66,2020-07-14,590,attend,1,3,313,July,Tuesday,14
193,29,2020-06-13,247,attend,1,3,130,June,Saturday,13
194,6,2020-05-23,247,attend,1,3,15,May,Saturday,23
195,7,2020-05-25,52,attend,3,5,18,May,Monday,25
196,63,2020-07-09,587,attend,3,5,309,July,Thursday,9
197,51,2020-06-30,452,attend,3,5,236,June,Tuesday,30
198,10,2020-05-27,49,attend,5,4,30,May,Wednesday,27
199,17,2020-06-04,308,attend,2,5,62,June,Thursday,4
200,42,2020-06-24,354,attend,5,4,205,June,Wednesday,24
202,8,2020-05-26,137,attend,2,6,23,May,Tuesday,26
203,42,2020-06-24,401,attend,5,4,203,June,Wednesday,24
204,17,2020-06-04,152,attend,2,5,63,June,Thursday,4
205,44,2020-06-25,590,attend,1,3,212,June,Thursday,25
206,22,2020-06-11,249,attend,1,3,93,June,Thursday,11
207,61,2020-07-10,26,attend,5,4,297,July,Friday,10
208,55,2020-07-03,354,attend,5,4,275,July,Friday,3
209,61,2020-07-10,493,attend,5,4,298,July,Friday,10
210,61,2020-07-10,354,attend,5,4,302,July,Friday,10
212,62,2020-07-09,590,attend,1,3,304,July,Thursday,9
213,52,2020-07-01,360,attend,5,4,246,July,Wednesday,1
214,50,2020-07-01,192,attend,2,7,240,July,Wednesday,1
215,41,2020-06-24,99,attend,2,6,199,June,Wednesday,24
216,55,2020-07-03,700,attend,5,4,274,July,Friday,3
217,46,2020-07-03,379,attend,2,7,267,July,Friday,3
218,30,2020-06-18,52,attend,3,5,163,June,Thursday,18
219,37,2020-06-19,99,attend,2,6,176,June,Friday,19
220,55,2020-07-03,401,attend,5,4,272,July,Friday,3
221,14,2020-06-02,152,attend,2,6,50,June,Tuesday,2
222,15,2020-06-03,260,attend,5,4,59,June,Wednesday,3
223,28,2020-06-16,14,attend,3,5,132,June,Tuesday,16
224,65,2020-07-14,419,attend,3,5,312,July,Tuesday,14
225,42,2020-06-24,493,attend,5,4,201,June,Wednesday,24
226,28,2020-06-16,52,attend,3,5,134,June,Tuesday,16
227,38,2020-06-20,12,attend,1,3,190,June,Saturday,20
228,52,2020-07-01,681,attend,5,4,248,July,Wednesday,1
230,52,2020-07-01,354,attend,5,4,251,July,Wednesday,1
231,24,2020-06-10,192,attend,2,6,101,June,Wednesday,10
232,26,2020-06-12,99,attend,2,6,118,June,Friday,12
233,18,2020-06-05,52,attend,3,6,73,June,Friday,5
234,30,2020-06-18,452,attend,3,5,164,June,Thursday,18
235,23,2020-06-11,419,attend,3,5,99,June,Thursday,11
236,19,2020-06-05,234,attend,5,4,76,June,Friday,5
237,19,2020-06-05,183,attend,5,4,84,June,Friday,5
238,48,2020-06-27,580,attend,1,3,232,June,Saturday,27
239,3,2020-05-21,12,attend,1,3,8,May,Thursday,21
240,25,2020-06-10,258,attend,5,4,113,June,Wednesday,10
241,34,2020-06-17,493,attend,5,4,153,June,Wednesday,17
242,56,2020-07-07,52,attend,3,5,277,July,Tuesday,7
243,5,2020-05-22,152,attend,2,6,10,May,Friday,22
244,55,2020-07-03,234,attend,5,4,268,July,Friday,3
245,16,2020-06-04,247,attend,1,3,67,June,Thursday,4
246,49,2020-06-30,12,attend,1,3,256,June,Tuesday,30
249,58,2020-07-15,260,attend,5,4,330,July,Wednesday,15
250,56,2020-07-07,587,attend,3,5,280,July,Tuesday,7
252,25,2020-06-10,183,attend,5,4,109,June,Wednesday,10
253,19,2020-06-05,360,attend,5,4,77,June,Friday,5
254,33,2020-06-17,379,attend,2,6,152,June,Wednesday,17
255,58,2020-07-15,183,attend,5,4,327,July,Wednesday,15
257,43,2020-06-25,419,attend,3,5,209,June,Thursday,25
258,20,2020-06-06,345,attend,1,3,86,June,Saturday,6
259,30,2020-06-18,597,attend,3,5,166,June,Thursday,18
260,27,2020-06-12,260,attend,5,4,126,June,Friday,12
261,47,2020-06-26,493,attend,5,4,223,June,Friday,26
262,34,2020-06-17,260,attend,5,4,160,June,Wednesday,17
264,36,2020-06-19,496,attend,5,4,181,June,Friday,19
265,23,2020-06-11,14,attend,3,5,100,June,Thursday,11
266,41,2020-06-24,379,attend,2,6,200,June,Wednesday,24
267,42,2020-06-24,183,attend,5,4,204,June,Wednesday,24
268,25,2020-06-10,354,attend,5,4,110,June,Wednesday,10
270,10,2020-05-27,258,attend,5,4,33,May,Wednesday,27
271,28,2020-06-16,419,attend,3,5,136,June,Tuesday,16
272,25,2020-06-10,335,attend,5,4,107,June,Wednesday,10
273,23,2020-06-11,26,attend,3,5,97,June,Thursday,11
274,30,2020-06-18,26,attend,3,5,162,June,Thursday,18
275,33,2020-06-17,578,attend,2,6,150,June,Wednesday,17
276,65,2020-07-14,52,attend,3,5,310,July,Tuesday,14
278,51,2020-06-30,419,attend,3,5,237,June,Tuesday,30
279,21,2020-06-09,26,attend,3,5,90,June,Tuesday,9
280,20,2020-06-06,247,attend,1,3,85,June,Saturday,6
282,50,2020-07-01,99,attend,2,7,241,July,Wednesday,1
283,6,2020-05-23,197,attend,1,3,13,May,Saturday,23
284,65,2020-07-14,452,attend,3,5,311,July,Tuesday,14
287,7,2020-05-25,37,attend,3,5,20,May,Monday,25
289,42,2020-06-24,260,attend,5,4,206,June,Wednesday,24
290,49,2020-06-30,590,attend,1,3,253,June,Tuesday,30
291,26,2020-06-12,379,attend,2,6,116,June,Friday,12
294,9,2020-05-28,145,attend,1,3,25,May,Thursday,28
295,27,2020-06-12,354,attend,5,4,124,June,Friday,12
296,53,2020-07-02,587,attend,3,5,260,July,Thursday,2
297,9,2020-05-28,12,attend,1,3,28,May,Thursday,28
298,34,2020-06-17,401,attend,5,4,157,June,Wednesday,17
301,28,2020-06-16,26,attend,3,5,133,June,Tuesday,16
302,40,2020-06-23,26,attend,3,5,191,June,Tuesday,23
303,13,2020-06-01,279,attend,3,5,43,June,Monday,1
304,20,2020-06-06,12,attend,1,3,88,June,Saturday,6
305,26,2020-06-12,192,attend,2,6,114,June,Friday,12
306,51,2020-06-30,52,attend,3,5,235,June,Tuesday,30
307,41,2020-06-24,192,attend,2,6,197,June,Wednesday,24
308,26,2020-06-12,435,attend,2,6,115,June,Friday,12
309,36,2020-06-19,401,attend,5,4,182,June,Friday,19
310,54,2020-07-02,590,attend,1,3,261,July,Thursday,2
311,12,2020-05-30,249,attend,1,3,41,May,Saturday,30
312,27,2020-06-12,360,attend,5,4,120,June,Friday,12
313,13,2020-06-01,30,attend,3,5,44,June,Monday,1
314,54,2020-07-02,12,attend,1,3,263,July,Thursday,2
315,36,2020-06-19,335,attend,5,4,180,June,Friday,19
316,6,2020-05-23,12,attend,1,3,16,May,Saturday,23
317,21,2020-06-09,52,attend,3,5,91,June,Tuesday,9
318,59,2020-07-08,183,attend,5,4,289,July,Wednesday,8
